Country,Export _US$_Thousand
Aruba,1525860.76
Afghanistan,5916036
Angola,12653996.54
Anguila,236304.03
Albania,12076545.76
Andorra,3080441.42
United Arab Emirates,269772885.5
Argentina,65386155.68
Armenia,5013378.9
American Samoa,154593.45
Antarctica,103139.22
Fr. So. Ant. Tr,60342.62
Antigua and Barbuda,1671451.25
Australia,279420552.8
Austria,198504368.7
Azerbaijan,12656531.81
Br. Antr. Terr,2.4
Burundi,743517.64
Belgium,464825537.1
Benin,5297109.63
Bonaire,780388.62
Burkina Faso,3767305.57
Bangladesh,80568124.28
Bulgaria,45462924.71
Bahrain,18033386.04
"Bahamas, The",8844311.53
Bosnia and Herzegovina,19007894.83
Saint Barthélemy,90588.95
Belarus,46327623.82
Belize,1437323.04
Bermuda,2420565.78
Bolivia,7431946.42
Brazil,259319343.5
Barbados,2033698.44
Brunei,5952745.83
Bhutan,1143520.99
Bunkers,44275867.58
Bouvet Island,1417.45
Botswana,7327565.19
Central African Republic,406990
Canada,529223309.5
Cocos (Keeling) Islands,12111.82
Switzerland,506450948
Chile,98636407.29
China,2419607092
Cote d'Ivoire,18188528.34
Cameroon,9951558.77
"Congo, Rep.",3733599.92
Cook Islands,205170.48
Colombia,66615595.42
Comoros,449904.14
Cape Verde,1478706.54
Costa Rica,18612406.36
Cuba,5603283.72
Curaçao,1440137.13
Christmas Island,36059.78
Cayman Islands,10903184.58
Cyprus,15469975.31
Czech Republic,187704391.6
Germany,1353626273
Djibouti,8575241
Dominica,714511.27
Denmark,115774658.8
Dominican Republic,25719477.58
Algeria,51503438.6
Ecuador,25064370.93
"Egypt, Arab Rep.",121503620
Eritrea,364390.13
Western Sahara,37809.57
Spain,381128434.5
Estonia,25773935.95
Ethiopia(excludes Eritrea),9895243.06
Finland,81407267.8
Fiji,2119389.86
Falkland Island,201719.43
France,683817002.8
Free Zones,2812921.58
Faeroe Islands,2362807.08
"Micronesia, Fed. Sts.",135308.71
Gabon,3039269.67
United Kingdom,1010705115
Georgia,12432700.47
Ghana,24059892.82
Gibraltar,15420639.54
Guinea,6298034.46
"Gambia, The",1879234.32
Guinea-Bissau,594585.14
Equatorial Guinea,1211491.76
Greece,72209036.25
Grenada,361180.03
Greenland,1836980.4
Guatemala,23291790.26
Guam,876775.54
Guyana,3290866.83
"Hong Kong, China",750206748.8
Heard Island and McDonald Isla,456.16
Honduras,15639011.58
Croatia,34820322.29
Haiti,4750130.46
Hungary,135105889.8
Indonesia,202125597.3
India,501730633.4
British Indian Ocean Ter.,49412.27
Ireland,100144839.5
"Iran, Islamic Rep.",37902224.25
Iraq,57670287.02
Iceland,10693241.05
Israel,116918781.2
Italy,541322557
Jamaica,5336113.7
Jordan,25586379.06
Japan,704318189.1
Kazakhstan,54558408.45
Kenya,24886099.46
Kyrgyz Republic,13533117.59
Cambodia,37816122.97
Kiribati,172149.37
St. Kitts and Nevis,309629.54
"Korea, Rep.",599607208.2
Kuwait,41825145.56
Lao PDR,7130577.41
Lebanon,20240124.34
Liberia,18444756.54
Libya,24681327.89
St. Lucia,3626471.16
Sri Lanka,20752701.77
Lesotho,1614549.36
Lithuania,40923728.89
Luxembourg,29529665.52
Latvia,25931764.47
Macao,15969720.17
Morocco,81145206.14
Moldova,11171686.73
Madagascar,4261222.63
Maldives,2713587.44
Mexico,510446816.1
Marshall Islands,16427288.33
North Macedonia,17577149.89
Mali,6117296.25
Malta,21411733.16
Myanmar,23714433
Mongolia,6894926.71
Northern Mariana Islands,66618.39
Montenegro,4596217.25
Mozambique,18276924.4
Mauritania,4587551.47
Montserrat,19392.98
Mauritius,5342370.67
Malawi,1780692.79
Malaysia,269840936.9
Namibia,6961463.68
New Caledonia,3345248.61
Niger,2182991.53
Norfolk Island,36084.64
Nigeria,71524943.07
Nicaragua,7499399.3
Niue,38217.91
Netherlands,699721383.8
Norway,155577307.6
Nepal,13437485
Nauru,110097.58
New Zealand,49928447.97
"Other Asia, nes",375352620.6
Oman,32956954.56
Pakistan,72875923.26
Panama,47818372.93
Pitcairn,6191.21
Peru,50828364.65
Philippines,160694229.1
Palau,135453.13
Papua New Guinea,4385492.07
Poland,347416542.2
"Korea, Dem. Rep.",286944.74
Portugal,94093227.59
Paraguay,11782055.93
Occ.Pal.Terr,1855939.72
French Polynesia,2546415.42
Qatar,39425790.64
Romania,110204789.1
Russian Federation,369704970.1
Rwanda,2578028.36
Saudi Arabia,173994994.4
Senegal,18305116.32
"Serbia, FR(Serbia/Montenegro)",56388198.18
Singapore,366827604.7
South Georgia and the South Sa,574.31
Saint Helena,58277.72
Solomon Islands,485871.84
Sierra Leone,1924181.1
El Salvador,12861289.34
San Marino,808959.29
Somalia,5249637.4
Special Categories,85490755.68
Saint Pierre and Miquelon,123020.14
South Sudan,936088.77
Sao Tome and Principe,211799.66
Sudan,9597674.88
Suriname,1818645.44
Slovak Republic,93841001.82
Slovenia,55272481.99
Sweden,168148413.6
Eswatini,1840828.18
Saint Maarten (Dutch part),686994.65
Seychelles,977788.85
Syrian Arab Republic,5505023.48
Turks and Caicos Isl.,464860.8
Chad,1320752.16
Togo,15459931.56
Thailand,254099887.4
Tajikistan,5106637.56
Tokelau,15860.75
Turkmenistan,5251422.43
East Timor,835086.3
Tonga,236483.74
Trinidad and Tobago,6307026.16
Tunisia,34481744.9
Turkey,330886757
Tuvalu,169502.57
Tanzania,18365344.1
Uganda,6524047.58
Ukraine,99221760.72
United States Minor Outlying I,64353.59
Unspecified,700658405
Uruguay,15304615.55
United States,3291674759
Uzbekistan,25792818.06
Holy See,160258.68
St. Vincent and the Grenadines,568836.9
Venezuela,8045060.45
British Virgin Islands,3791789.29
Vietnam,357022783.5
Vanuatu,404860.99
Wallis and Futura Isl.,76888.03
Samoa,424488.18
Yemen,13578010.13
South Africa,119580111.1
"Congo, Dem. Rep.",11061690.72
Zambia,7876466.9
Zimbabwe,5566423.9
