Age,Male,Female
0,161555,153195
1,157408,149362
2,160768,153232
3,158604,150634
4,158126,150008
5,162813,153247
6,163751,154907
7,166967,157882
8,171422,162180
9,170576,160617
10,172098,162716
11,174024,164072
12,173121,164441
13,172022,163055
14,173755,165083
15,173040,163319
16,173354,163980
17,173549,163021
18,172803,162610
19,176785,164412
20,176772,164664
21,171761,161503
22,173821,162749
23,186355,172159
24,190379,176821
25,184055,173462
26,181318,174192
27,184457,180038
28,189428,185941
29,194745,192628
30,194042,194883
31,193395,197221
32,193215,199086
33,197195,202752
34,197951,203149
35,195252,200436
36,193033,199299
37,193289,197914
38,194426,198009
39,192728,196999
40,191167,194390
41,190555,193116
42,183958,186646
43,177835,182118
44,168229,173788
45,163879,170174
46,159388,165424
47,158446,163739
48,159791,162442
49,160656,164137
50,162873,166694
51,166136,170537
52,171188,177151
53,172102,179053
54,161289,166967
55,158605,165376
56,152553,158857
57,149477,155446
58,148659,154769
59,150141,156772
60,153979,161274
61,155449,163268
62,154035,161850
63,151695,160895
64,145292,155543
65,141982,152011
66,137150,148307
67,132910,143619
68,129747,139534
69,123977,135574
70,119476,131045
71,117656,128193
72,113325,123416
73,110917,120997
74,107359,117746
75,102821,112717
76,102139,110884
77,102504,111635
78,83698,91261
79,77081,85753
80,70414,79059
81,60798,69891
82,57574,66231
83,50485,59931
84,46075,55919
85,40727,51746
86,35881,46594
87,31333,41895
88,26261,36766
89,21525,31879
90,17804,27178
91,14629,23660
92,11840,20124
93,9743,17458
94,7666,14376
95,5536,11013
96,3918,8516
97,2775,6219
98,2009,4614
99,1263,3154
