Year,Age,Male,Female
2012,0,158710,149948
2012,1,154884,146715
2012,2,153945,146087
2012,3,154587,146566
2012,4,153866,146003
2012,5,152933,144949
2012,6,151248,143171
2012,7,148005,139929
2012,8,144465,136321
2012,9,142178,134837
2012,10,140955,134260
2012,11,141992,134939
2012,12,143160,136226
2012,13,143443,136708
2012,14,143953,136614
2012,15,145032,137715
2012,16,146943,139554
2012,17,150406,142297
2012,18,153441,145237
2012,19,155191,147562
2012,20,157986,151049
2012,21,162553,156305
2012,22,169024,162488
2012,23,172135,165249
2012,24,171737,165456
2012,25,171963,166264
2012,26,173189,168097
2012,27,174122,170411
2012,28,173534,171226
2012,29,173486,171271
2012,30,171663,169174
2012,31,167675,165489
2012,32,162746,161264
2012,33,157702,156947
2012,34,154243,154179
2012,35,152548,152754
2012,36,152786,152897
2012,37,154067,154294
2012,38,156714,157456
2012,39,160055,161890
2012,40,164835,167849
2012,41,168938,173017
2012,42,165520,169270
2012,43,159704,163212
2012,44,155634,159309
2012,45,151267,154340
2012,46,149480,152436
2012,47,149815,152938
2012,48,152585,155696
2012,49,155639,158773
2012,50,156405,159318
2012,51,155952,158861
2012,52,152666,156222
2012,53,148759,152167
2012,54,145675,149218
2012,55,142194,145862
2012,56,139898,142727
2012,57,136409,139605
2012,58,131641,135842
2012,59,129183,133083
2012,60,126922,129794
2012,61,124368,126720
2012,62,122426,124699
2012,63,119730,121394
2012,64,118891,119620
2012,65,121468,121822
2012,66,113769,114140
2012,67,101517,102564
2012,68,96406,98402
2012,69,89108,91492
2012,70,83577,85834
2012,71,79672,82067
2012,72,74807,77734
2012,73,70968,74548
2012,74,66599,70991
2012,75,62682,67517
2012,76,58709,64900
2012,77,53820,61820
2012,78,49596,58206
2012,79,46478,55679
2012,80,43558,53628
2012,81,41518,52540
2012,82,39446,51425
2012,83,36053,48497
2012,84,32356,45462
2012,85,28704,42381
2012,86,25107,38915
2012,87,21484,35417
2012,88,17832,31508
2012,89,14540,27437
2012,90,11813,23573
2012,91,9389,19801
2012,92,7055,15733
2012,93,4884,11501
2012,94,3232,8481
2012,95,2320,6687
2012,96,1657,5022
2012,97,1128,3660
2012,98,712,2584
2012,99,455,1679
2013,0,157935,149243
2013,1,158904,150330
2013,2,156812,148624
2013,3,156380,148421
2013,4,156879,148761
2013,5,156132,148118
2013,6,155301,147138
2013,7,153120,144838
2013,8,149089,140891
2013,9,145476,137171
2013,10,143236,135693
2013,11,141916,135063
2013,12,143032,135768
2013,13,144243,137192
2013,14,144555,137677
2013,15,145260,137862
2013,16,146440,139371
2013,17,148818,141739
2013,18,153917,146014
2013,19,158513,150419
2013,20,160351,152857
2013,21,162653,155979
2013,22,167632,161763
2013,23,174182,168364
2013,24,176068,170487
2013,25,174774,170439
2013,26,174556,171352
2013,27,175600,173240
2013,28,176491,175166
2013,29,175952,175362
2013,30,175730,174827
2013,31,173329,171838
2013,32,169104,167651
2013,33,164154,163256
2013,34,158881,158621
2013,35,155361,155594
2013,36,153707,154038
2013,37,153959,154214
2013,38,155203,155595
2013,39,157889,158709
2013,40,161174,163102
2013,41,165564,168868
2013,42,169290,174029
2013,43,165546,170219
2013,44,159569,163953
2013,45,155520,160061
2013,46,151166,155128
2013,47,149445,153075
2013,48,149742,153308
2013,49,152470,156004
2013,50,155658,159145
2013,51,156269,159569
2013,52,155640,159008
2013,53,152269,156318
2013,54,148145,152101
2013,55,144901,149069
2013,56,141367,145758
2013,57,138971,142523
2013,58,135360,139274
2013,59,130538,135532
2013,60,128159,132879
2013,61,126021,129657
2013,62,123646,126627
2013,63,121759,124525
2013,64,118997,121052
2013,65,118033,119185
2013,66,120372,121211
2013,67,112507,113404
2013,68,100123,101690
2013,69,94923,97329
2013,70,87618,90453
2013,71,82044,84915
2013,72,78087,81223
2013,73,73089,76850
2013,74,69103,73611
2013,75,64649,70020
2013,76,60679,66502
2013,77,56713,63642
2013,78,51813,60235
2013,79,47558,56498
2013,80,44336,53887
2013,81,41311,51711
2013,82,39102,50411
2013,83,36857,49008
2013,84,33369,45806
2013,85,29649,42582
2013,86,26024,39442
2013,87,22445,35871
2013,88,18965,32213
2013,89,15490,28276
2013,90,12439,24313
2013,91,9913,20600
2013,92,7697,17010
2013,93,5685,13245
2013,94,3869,9433
2013,95,2511,6774
2013,96,1756,5228
2013,97,1199,3777
2013,98,782,2642
2013,99,481,1839
2014,0,158862,150813
2014,1,158969,150689
2014,2,160117,151485
2014,3,158686,150328
2014,4,158618,150552
2014,5,158781,150603
2014,6,157977,149769
2014,7,157173,148904
2014,8,154421,146196
2014,9,149757,141649
2014,10,146156,137778
2014,11,143986,136259
2014,12,142616,135669
2014,13,143797,136435
2014,14,145201,138090
2014,15,145832,138887
2014,16,146785,139399
2014,17,148309,141515
2014,18,152600,145510
2014,19,160025,151383
2014,20,164847,155801
2014,21,165750,157694
2014,22,168258,161359
2014,23,173391,167537
2014,24,178371,173281
2014,25,178816,174924
2014,26,177054,174844
2014,27,176434,175571
2014,28,177238,177227
2014,29,178001,178576
2014,30,177270,178218
2014,31,176710,177213
2014,32,174141,173747
2014,33,170177,169363
2014,34,165192,164749
2014,35,159608,159794
2014,36,155982,156565
2014,37,154319,154896
2014,38,154641,155081
2014,39,155919,156376
2014,40,158596,159469
2014,41,161791,163969
2014,42,165791,169577
2014,43,169240,174687
2014,44,165195,170770
2014,45,159014,164331
2014,46,155034,160540
2014,47,150727,155574
2014,48,149104,153455
2014,49,149380,153568
2014,50,152142,156213
2014,51,155466,159394
2014,52,155930,159616
2014,53,155151,158937
2014,54,151663,156247
2014,55,147315,151895
2014,56,143972,148796
2014,57,140444,145546
2014,58,137966,142265
2014,59,134181,138934
2014,60,129326,135161
2014,61,127050,132551
2014,62,125015,129336
2014,63,122870,126370
2014,64,121004,124249
2014,65,118087,120673
2014,66,117029,118691
2014,67,119212,120474
2014,68,111238,112454
2014,69,98711,100602
2014,70,93343,96117
2014,71,85984,89217
2014,72,80398,83750
2014,73,76389,80196
2014,74,71237,75802
2014,75,67120,72417
2014,76,62579,68789
2014,77,58526,65250
2014,78,54510,62168
2014,79,49618,58464
2014,80,45324,54579
2014,81,41996,51882
2014,82,38867,49551
2014,83,36507,47987
2014,84,34083,46302
2014,85,30559,42918
2014,86,26883,39518
2014,87,23318,36217
2014,88,19832,32626
2014,89,16494,28979
2014,90,13223,25024
2014,91,10421,21089
2014,92,8133,17531
2014,93,6183,14250
2014,94,4479,10859
2014,95,2990,7507
2014,96,1911,5231
2014,97,1308,3924
2014,98,846,2720
2014,99,522,1811
