code,label,estimated_population,net_overseas_migration,year
101,Capital Region,238522,197,2021
102,Central Coast,348379,141,2021
103,Central West,213471,65,2021
104,Coffs Harbour - Grafton,146115,98,2021
105,Far West and Orana,117178,102,2021
106,Hunter Valley exc Newcastle,292906,91,2021
107,Illawarra,313990,-216,2021
108,Mid North Coast,228870,62,2021
109,Murray,123332,48,2021
110,New England and North West,186942,58,2021
111,Newcastle and Lake Macquarie,391095,295,2021
112,Richmond - Tweed,256677,223,2021
113,Riverina,164231,228,2021
114,Southern Highlands and Shoalhaven,160722,54,2021
115,Sydney - Baulkham Hills and Hawkesbury,265266,-129,2021
116,Sydney - Blacktown,403958,415,2021
117,Sydney - City and Inner South,335429,-4733,2021
118,Sydney - Eastern Suburbs,263656,-2666,2021
119,Sydney - Inner South West,607186,1744,2021
120,Sydney - Inner West,306292,-227,2021
121,Sydney - North Sydney and Hornsby,426070,-2744,2021
122,Sydney - Northern Beaches,264481,-391,2021
123,Sydney - Outer South West,298999,184,2021
124,Sydney - Outer West and Blue Mountains,334001,161,2021
125,Sydney - Parramatta,496672,1282,2021
126,Sydney - Ryde,202922,-929,2021
127,Sydney - South West,476152,506,2021
128,Sydney - Sutherland,230301,141,2021
201,Ballarat,173266,-137,2021
202,Bendigo,167196,-143,2021
203,Geelong,327419,-564,2021
204,Hume,184129,-145,2021
205,Latrobe - Gippsland,299758,-150,2021
206,Melbourne - Inner,627671,-22319,2021
207,Melbourne - Inner East,377713,-6436,2021
208,Melbourne - Inner South,427156,-5070,2021
209,Melbourne - North East,546251,-3032,2021
210,Melbourne - North West,428954,-2071,2021
211,Melbourne - Outer East,522777,-1766,2021
212,Melbourne - South East,870480,-8008,2021
213,Melbourne - West,863956,-5076,2021
214,Mornington Peninsula,311199,-589,2021
215,North West,155140,-277,2021
216,Shepparton,137375,-246,2021
217,Warrnambool and South West,127600,-105,2021
301,Brisbane - East,243487,-293,2021
302,Brisbane - North,227863,-501,2021
303,Brisbane - South,377406,-1849,2021
