code,label,year,estimated_population,net_overseas_migration
101,Capital Region,2017,226721,1069
101,Capital Region,2018,229584,948
101,Capital Region,2019,232542,900
101,Capital Region,2020,235620,610
101,Capital Region,2021,238522,197
101,Capital Region,2022,240423,890
102,Central Coast,2017,339951,1574
102,Central Coast,2018,342704,1388
102,Central Coast,2019,345181,1316
102,Central Coast,2020,347067,891
102,Central Coast,2021,348379,141
102,Central Coast,2022,348930,1213
103,Central West,2017,211203,653
103,Central West,2018,212204,580
103,Central West,2019,212925,551
103,Central West,2020,213154,371
103,Central West,2021,213471,65
103,Central West,2022,213927,539
104,Coffs Harbour - Grafton,2017,140599,733
104,Coffs Harbour - Grafton,2018,142028,656
104,Coffs Harbour - Grafton,2019,143227,618
104,Coffs Harbour - Grafton,2020,144149,422
104,Coffs Harbour - Grafton,2021,146115,98
104,Coffs Harbour - Grafton,2022,147397,556
105,Far West and Orana,2017,117110,420
105,Far West and Orana,2018,117450,373
105,Far West and Orana,2019,117464,355
105,Far West and Orana,2020,117179,239
105,Far West and Orana,2021,117178,102
105,Far West and Orana,2022,117048,341
106,Hunter Valley exc Newcastle,2017,273188,789
106,Hunter Valley exc Newcastle,2018,277895,704
106,Hunter Valley exc Newcastle,2019,282014,669
106,Hunter Valley exc Newcastle,2020,287155,449
106,Hunter Valley exc Newcastle,2021,292906,91
106,Hunter Valley exc Newcastle,2022,299174,727
107,Illawarra,2017,305558,2799
107,Illawarra,2018,307880,2492
107,Illawarra,2019,310108,2391
107,Illawarra,2020,312210,1623
107,Illawarra,2021,313990,-216
107,Illawarra,2022,317396,1781
108,Mid North Coast,2017,218850,631
108,Mid North Coast,2018,221482,558
108,Mid North Coast,2019,224039,523
108,Mid North Coast,2020,226444,361
108,Mid North Coast,2021,228870,62
108,Mid North Coast,2022,231539,515
109,Murray,2017,119047,517
109,Murray,2018,120169,457
109,Murray,2019,121111,434
109,Murray,2020,122202,294
109,Murray,2021,123332,48
109,Murray,2022,124357,399
110,New England and North West,2017,186455,997
110,New England and North West,2018,187140,923
110,New England and North West,2019,187673,836
110,New England and North West,2020,187213,568
110,New England and North West,2021,186942,58
110,New England and North West,2022,187682,691
111,Newcastle and Lake Macquarie,2017,373675,2821
111,Newcastle and Lake Macquarie,2018,378130,2479
111,Newcastle and Lake Macquarie,2019,382560,2351
111,Newcastle and Lake Macquarie,2020,386919,1598
111,Newcastle and Lake Macquarie,2021,391095,295
111,Newcastle and Lake Macquarie,2022,395875,1990
112,Richmond - Tweed,2017,248690,1330
112,Richmond - Tweed,2018,250806,1167
112,Richmond - Tweed,2019,252717,1103
112,Richmond - Tweed,2020,254911,752
112,Richmond - Tweed,2021,256677,223
112,Richmond - Tweed,2022,258167,1096
113,Riverina,2017,160548,982
113,Riverina,2018,161600,884
113,Riverina,2019,162609,821
113,Riverina,2020,163578,556
113,Riverina,2021,164231,228
113,Riverina,2022,164353,714
114,Southern Highlands and Shoalhaven,2017,152617,721
