code,label,year,estimated_population,net_overseas_migration
101,Capital Region,2017,"226,721","1,069"
101,Capital Region,2018,"229,584",948
101,Capital Region,2019,"232,542",900
101,Capital Region,2020,"235,620",610
101,Capital Region,2021,"238,522",197
101,Capital Region,2022,"240,423",890
102,Central Coast,2017,"339,951","1,574"
102,Central Coast,2018,"342,704","1,388"
102,Central Coast,2019,"345,181","1,316"
102,Central Coast,2020,"347,067",891
102,Central Coast,2021,"348,379",141
102,Central Coast,2022,"348,930","1,213"
103,Central West,2017,"211,203",653
103,Central West,2018,"212,204",580
103,Central West,2019,"212,925",551
103,Central West,2020,"213,154",371
103,Central West,2021,"213,471",65
103,Central West,2022,"213,927",539
104,Coffs Harbour - Grafton,2017,"140,599",733
104,Coffs Harbour - Grafton,2018,"142,028",656
104,Coffs Harbour - Grafton,2019,"143,227",618
104,Coffs Harbour - Grafton,2020,"144,149",422
104,Coffs Harbour - Grafton,2021,"146,115",98
104,Coffs Harbour - Grafton,2022,"147,397",556
105,Far West and Orana,2017,"117,110",420
105,Far West and Orana,2018,"117,450",373
105,Far West and Orana,2019,"117,464",355
105,Far West and Orana,2020,"117,179",239
105,Far West and Orana,2021,"117,178",102
105,Far West and Orana,2022,"117,048",341
106,Hunter Valley exc Newcastle,2017,"273,188",789
106,Hunter Valley exc Newcastle,2018,"277,895",704
106,Hunter Valley exc Newcastle,2019,"282,014",669
106,Hunter Valley exc Newcastle,2020,"287,155",449
106,Hunter Valley exc Newcastle,2021,"292,906",91
106,Hunter Valley exc Newcastle,2022,"299,174",727
107,Illawarra,2017,"305,558","2,799"
107,Illawarra,2018,"307,880","2,492"
107,Illawarra,2019,"310,108","2,391"
107,Illawarra,2020,"312,210","1,623"
107,Illawarra,2021,"313,990",-216
107,Illawarra,2022,"317,396","1,781"
108,Mid North Coast,2017,"218,850",631
108,Mid North Coast,2018,"221,482",558
108,Mid North Coast,2019,"224,039",523
108,Mid North Coast,2020,"226,444",361
108,Mid North Coast,2021,"228,870",62
108,Mid North Coast,2022,"231,539",515
109,Murray,2017,"119,047",517
109,Murray,2018,"120,169",457
109,Murray,2019,"121,111",434
109,Murray,2020,"122,202",294
109,Murray,2021,"123,332",48
109,Murray,2022,"124,357",399
110,New England and North West,2017,"186,455",997
110,New England and North West,2018,"187,140",923
110,New England and North West,2019,"187,673",836
110,New England and North West,2020,"187,213",568
110,New England and North West,2021,"186,942",58
110,New England and North West,2022,"187,682",691
111,Newcastle and Lake Macquarie,2017,"373,675","2,821"
111,Newcastle and Lake Macquarie,2018,"378,130","2,479"
111,Newcastle and Lake Macquarie,2019,"382,560","2,351"
111,Newcastle and Lake Macquarie,2020,"386,919","1,598"
111,Newcastle and Lake Macquarie,2021,"391,095",295
111,Newcastle and Lake Macquarie,2022,"395,875","1,990"
112,Richmond - Tweed,2017,"248,690","1,330"
112,Richmond - Tweed,2018,"250,806","1,167"
112,Richmond - Tweed,2019,"252,717","1,103"
112,Richmond - Tweed,2020,"254,911",752
